close,high,low,date
"26,370.00","26,388.00","26,320.00",20251201
"26,365.00","26,393.00","26,341.50",20251128
"26,375.50","26,391.50","26,359.00",20251127
"26,376.50","26,390.00","26,354.00",20251126
"26,373.00","26,392.00","26,357.50",20251125
"26,375.50","26,391.50","26,312.50",20251124
"26,353.00","26,386.50","26,353.00",20251121
"26,376.00","26,386.00","26,354.50",20251120
"26,377.00","26,387.50","26,351.00",20251119
"26,383.00","26,386.50","26,325.00",20251118
"26,355.00","26,367.50","26,310.00",20251117
"26,350.00","26,368.50","26,332.50",20251114
"26,355.00","26,369.50","26,306.00",20251113
"26,355.00","26,368.00","26,305.00",20251112
"26,315.00","26,333.00","26,293.50",20251111
"26,300.00","26,326.50","26,282.00",20251110
"26,310.00","26,330.00","26,293.00",20251107
"26,315.00","26,338.00","26,298.00",20251106
"26,322.50","26,345.00","26,302.50",20251105
"26,320.00","26,341.00","26,302.50",20251104
"26,312.00","26,326.50","26,275.00",20251103
"26,315.00","26,338.50","26,291.50",20251031
"26,330.00","26,342.00","26,295.00",20251030
"26,336.00","26,339.00","26,305.00",20251029
"26,328.00","26,338.00","26,287.50",20251028
"26,305.00","26,345.00","26,276.50",20251027
"26,305.00","26,346.00","26,291.00",20251024
"26,332.00","26,351.50","26,315.00",20251023
"26,347.50","26,356.00","26,290.00",20251022
"26,343.00","26,352.50","26,331.50",20251021
"26,342.50","26,360.00","26,334.50",20251020
"26,342.00","26,349.50","26,331.50",20251017
"26,335.00","26,356.00","26,322.50",20251016
"26,340.00","26,359.50","26,322.50",20251015
"26,355.50","26,364.00","26,305.00",20251014
"26,345.00","26,357.50","26,320.00",20251013
"26,340.00","26,402.50","26,325.00",20251010
"26,347.50","26,428.50","26,336.00",20251009
"26,360.00","26,373.50","26,342.00",20251008
"26,365.00","26,385.00","26,347.50",20251007
"26,365.00","26,406.50","26,349.00",20251006
"26,381.00","26,399.00","26,363.50",20251003
"26,395.50","26,425.00","26,369.00",20251002
"26,410.00","26,429.00","26,351.00",20251001
"26,427.00","26,432.00","26,404.50",20250930
"26,421.00","26,433.50","26,395.00",20250929
"26,410.00","26,422.50","26,383.00",20250926
"26,405.00","26,428.00","26,391.50",20250925
"26,419.00","26,432.00","26,365.00",20250924
"26,420.00","26,436.00","26,370.00",20250923
"26,417.50","26,428.00","26,360.00",20250922
"26,382.50","26,405.00","26,362.50",20250919
"26,385.00","26,399.00","26,352.50",20250918
"26,375.00","26,394.50","26,346.00",20250917
"26,382.50","26,401.50","26,362.00",20250916
"26,385.00","26,402.50","26,362.00",20250915
"26,385.00","26,412.50","26,370.50",20250912
"26,402.50","26,417.50","26,370.00",20250911
"26,395.00","26,408.50","26,355.50",20250910
"26,387.50","26,425.00","26,365.00",20259209
"26,415.00","26,431.50","26,367.50",20259208
"26,400.00","26,415.00","26,380.00",20259205
"26,390.00","26,405.00","26,367.50",20259204
"26,387.50","26,390.00","26,295.50",20259203
"26,345.00","26,345.00","26,345.00",20259202
"26,345.00","26,345.00","26,345.00",20259201
"26,345.00","26,375.00","26,332.50",20250829
"26,375.00","26,382.00","26,325.00",20250828
"26,380.00","26,402.50","26,325.00",20250827
"26,365.00","26,377.50","26,295.50",20250826
"26,305.00","26,368.00","26,289.00",20250825
"26,350.00","26,447.50","26,320.00",20250822
"26,432.50","26,457.00","26,328.50",20250821
"26,390.00","26,390.00","26,290.00",20250820
"26,320.00","26,331.00","26,282.50",20250819
"26,300.00","26,309.50","26,245.00",20250818
"26,270.00","26,332.50","26,245.00",20250815
"26,265.00","26,303.50","26,245.00",20250814
"26,290.00","26,332.50","26,230.00",20250813
"26,270.00","26,282.50","26,200.00",20250812
"26,233.00","26,239.00","26,218.50",20250811
"26,225.00","26,237.50","26,170.00",20258208
"26,215.00","26,237.00","26,199.00",20258207
"26,225.00","26,282.50","26,186.00",20258206
"26,250.00","26,263.50","26,164.00",20258205
"26,176.50","26,226.00","26,147.50",20258204
"26,220.00","26,234.00","26,170.50",20258201
"26,199.00","26,232.50","26,172.50",20250731
"26,202.50","26,266.50","26,190.00",20250730
"26,225.00","26,260.00","26,162.50",20250729
"26,200.00","26,221.00","26,127.50",20250728
"26,145.00","26,158.00","26,112.50",20250725
"26,135.00","26,163.00","26,116.50",20250724
"26,150.00","26,166.50","26,120.00",20250723
"26,145.00","26,162.50","26,128.50",20250722
"26,155.00","26,168.50","26,139.00",20250721
"26,160.00","26,173.00","26,138.00",20250718
"26,160.00","26,172.50","26,129.00",20250717
"26,160.00","26,182.50","26,125.00",20250716
"26,137.50","26,151.50","26,100.00",20250715
"26,125.00","26,137.50","26,085.00",20250714
"26,114.50","26,137.00","26,065.00",20250711
"26,114.50","26,150.00","26,098.00",20250710
"26,139.00","26,160.00","26,122.50",20257209
"26,135.00","26,153.50","26,086.50",20257208
"26,145.00","26,205.00","26,086.50",20257207
"26,180.00","26,264.50","26,155.00",20257204
"26,200.00","26,241.50","26,145.00",20257203
"26,170.00","26,185.50","26,095.00",20257202
"26,130.00","26,170.00","26,065.00",20257201
"26,120.50","26,129.00","26,055.00",20250630
"26,095.00","26,140.00","26,061.50",20250627
"26,120.00","26,147.50","26,098.50",20250626
"26,155.00","26,180.00","26,128.50",20250625
